metric;run;time_ms
keypair_generation;1;0.3842000005533919
keypair_generation;2;0.26480000087758526
keypair_generation;3;0.2576000006229151
keypair_generation;4;0.2652000002854038
keypair_generation;5;0.49190000208909623
keypair_generation;6;0.29179999910411425
keypair_generation;7;0.2595000005385373
keypair_generation;8;0.25410000307601877
keypair_generation;9;0.25439999808440916
keypair_generation;10;0.25550000282237306
keypair_generation;11;0.25380000079167075
keypair_generation;12;0.25570000070729293
keypair_generation;13;0.25040000036824495
keypair_generation;14;0.2494000000297092
keypair_generation;15;0.24920000214478932
keypair_generation;16;0.29710000308114104
keypair_generation;17;0.6177000032039359
keypair_generation;18;0.32909999936237
keypair_generation;19;0.28360000214888714
keypair_generation;20;0.3231999980926048
signing;1;0.7167999974626582
signing;2;1.9412000001466367
signing;3;0.638900000922149
signing;4;1.328099999227561
signing;5;0.6648000016866717
signing;6;0.7063000011839904
signing;7;0.6179000010888558
signing;8;0.39590000233147293
signing;9;0.43799999912153
signing;10;0.8292000020446721
signing;11;0.39570000080857426
signing;12;0.5906999977014493
signing;13;1.322000000072876
signing;14;0.37760000122943893
signing;15;0.3665000003820751
signing;16;0.4411999980220571
signing;17;0.7554000003437977
signing;18;0.4804999989573844
signing;19;0.8503999997628853
signing;20;0.87599999824306
